FP2 - F4,F4 - C4,C4 - P4,P4 - O2,FP2 - F8,F8 - T4,T4 - T6,T6 - O2,FP1 - F3,F3 - C3,C3 - P3,P3 - O1,FP1 - F7,F7 - T3,T3 - T5,T5 - O1
16.0,-59.0,70.0,-51.0,20.0,13.0,-67.0,10.0,-12.0,-3.0,15.0,20.0,-24.0,-37.0,60.0,21.0
-4.0,-46.0,76.0,-72.0,21.0,12.0,-59.0,-20.0,-1.0,26.0,0.0,-4.0,21.0,32.0,-66.0,34.0
-6.0,52.0,-10.0,14.0,30.0,-1.0,36.0,-14.0,-4.0,15.0,-6.0,4.0,43.0,43.0,-106.0,28.0
33.0,80.0,-74.0,93.0,24.0,-5.0,82.0,31.0,-12.0,-13.0,10.0,21.0,10.0,7.0,-16.0,5.0
40.0,36.0,-31.0,54.0,32.0,-2.0,41.0,28.0,-35.0,-7.0,18.0,48.0,-11.0,-52.0,83.0,3.0
4.0,-41.0,63.0,-56.0,33.0,8.0,-57.0,-12.0,-13.0,-6.0,-2.0,36.0,-33.0,-35.0,65.0,19.0
-19.0,-59.0,85.0,-77.0,20.0,-4.0,-75.0,-10.0,-1.0,22.0,-13.0,-11.0,6.0,23.0,-47.0,16.0
-5.0,50.0,-8.0,-1.0,31.0,0.0,16.0,-11.0,-4.0,24.0,-15.0,-10.0,55.0,36.0,-107.0,11.0
32.0,84.0,-80.0,82.0,29.0,-10.0,95.0,5.0,-46.0,-1.0,7.0,27.0,29.0,-11.0,-25.0,-5.0
40.0,41.0,-50.0,61.0,27.0,-9.0,38.0,36.0,-21.0,-40.0,16.0,39.0,-34.0,-35.0,79.0,-15.0
22.0,-46.0,43.0,-45.0,19.0,0.0,-46.0,0.0,-4.0,-22.0,2.0,33.0,-31.0,-42.0,74.0,7.0
-4.0,-61.0,72.0,-94.0,14.0,5.0,-71.0,-35.0,-36.0,33.0,-12.0,4.0,18.0,-11.0,-39.0,21.0
-20.0,28.0,11.0,-5.0,22.0,-2.0,-1.0,-6.0,8.0,-6.0,-6.0,-20.0,34.0,38.0,-102.0,5.0
25.0,86.0,-71.0,79.0,33.0,-3.0,82.0,8.0,-5.0,-10.0,-3.0,15.0,11.0,35.0,-44.0,-5.0
36.0,52.0,-50.0,69.0,33.0,-13.0,70.0,17.0,-9.0,-35.0,9.0,46.0,-20.0,-35.0,73.0,-6.0
22.0,-39.0,34.0,-28.0,15.0,2.0,-44.0,16.0,-34.0,-11.0,15.0,27.0,-50.0,-48.0,90.0,5.0
-2.0,-59.0,78.0,-85.0,24.0,3.0,-78.0,-17.0,-10.0,14.0,-6.0,0.0,1.0,0.0,-24.0,21.0
-13.0,20.0,22.0,-25.0,27.0,16.0,-17.0,-23.0,-7.0,31.0,-9.0,-9.0,34.0,48.0,-99.0,24.0
14.0,83.0,-64.0,79.0,29.0,-11.0,68.0,27.0,-43.0,13.0,24.0,4.0,41.0,16.0,-52.0,-7.0
43.0,54.0,-59.0,76.0,20.0,-8.0,74.0,29.0,-26.0,-44.0,23.0,45.0,-32.0,-27.0,59.0,-2.0
34.0,-35.0,27.0,-16.0,8.0,7.0,-10.0,5.0,-11.0,-16.0,9.0,42.0,-57.0,-36.0,105.0,13.0
-2.0,-72.0,86.0,-74.0,3.0,14.0,-82.0,4.0,-22.0,31.0,13.0,-3.0,-10.0,2.0,9.0,17.0
2.0,-14.0,34.0,-36.0,10.0,12.0,-18.0,-17.0,9.0,15.0,-3.0,-11.0,38.0,44.0,-97.0,25.0
25.0,73.0,-55.0,67.0,18.0,4.0,81.0,7.0,-5.0,-1.0,11.0,12.0,32.0,35.0,-65.0,15.0
35.0,63.0,-61.0,97.0,24.0,-15.0,85.0,40.0,-6.0,-33.0,28.0,33.0,-2.0,-32.0,57.0,-2.0
22.0,-20.0,23.0,0.0,24.0,-5.0,-7.0,13.0,-8.0,-15.0,16.0,43.0,-39.0,-36.0,100.0,10.0
-1.0,-63.0,88.0,-76.0,15.0,22.0,-77.0,-12.0,-4.0,26.0,5.0,14.0,-4.0,1.0,20.0,25.0
-23.0,-12.0,55.0,-35.0,34.0,-10.0,-36.0,-3.0,-13.0,31.0,9.0,-19.0,42.0,33.0,-87.0,20.0
28.0,63.0,-49.0,59.0,27.0,6.0,63.0,6.0,-1.0,3.0,9.0,10.0,43.0,32.0,-68.0,14.0
37.0,75.0,-74.0,89.0,24.0,-11.0,98.0,15.0,-23.0,-24.0,9.0,43.0,-10.0,-25.0,37.0,3.0
28.0,-10.0,3.0,14.0,16.0,-2.0,-4.0,26.0,-39.0,-8.0,19.0,38.0,-25.0,-61.0,98.0,-2.0
-3.0,-64.0,75.0,-81.0,20.0,2.0,-76.0,-19.0,-47.0,34.0,-8.0,19.0,-33.0,-12.0,22.0,21.0
-17.0,-29.0,54.0,-59.0,16.0,2.0,-39.0,-30.0,22.0,7.0,-22.0,-7.0,31.0,25.0,-85.0,29.0
16.0,52.0,-47.0,47.0,6.0,3.0,46.0,12.0,12.0,-16.0,-4.0,-7.0,32.0,38.0,-91.0,5.0
36.0,77.0,-84.0,87.0,26.0,-17.0,90.0,17.0,-6.0,-32.0,-2.0,35.0,-17.0,3.0,9.0,1.0
29.0,-3.0,-12.0,21.0,22.0,-16.0,16.0,12.0,-26.0,-22.0,7.0,48.0,-47.0,-41.0,90.0,4.0
-22.0,-56.0,71.0,-66.0,23.0,-7.0,-90.0,0.0,-21.0,4.0,2.0,11.0,-14.0,-36.0,38.0,7.0
-7.0,-49.0,49.0,-67.0,7.0,20.0,-73.0,-29.0,-20.0,28.0,-12.0,-7.0,39.0,14.0,-85.0,22.0
7.0,39.0,-28.0,26.0,18.0,-19.0,57.0,-12.0,-4.0,7.0,-9.0,-6.0,38.0,45.0,-101.0,5.0
27.0,74.0,-81.0,102.0,21.0,-26.0,94.0,32.0,-13.0,-37.0,15.0,21.0,3.0,-15.0,7.0,-9.0
33.0,17.0,-31.0,32.0,33.0,-20.0,25.0,14.0,-15.0,-24.0,7.0,47.0,-33.0,-38.0,87.0,0.0
6.0,-54.0,62.0,-66.0,23.0,1.0,-69.0,-7.0,-23.0,1.0,3.0,26.0,-32.0,-29.0,56.0,11.0
0.0,-55.0,62.0,-75.0,-1.0,23.0,-82.0,-7.0,-4.0,14.0,-1.0,-16.0,43.0,0.0,-70.0,20.0
10.0,43.0,-21.0,9.0,20.0,8.0,25.0,-13.0,3.0,12.0,-8.0,-4.0,30.0,72.0,-113.0,14.0
32.0,76.0,-76.0,89.0,13.0,3.0,91.0,14.0,-8.0,-21.0,6.0,27.0,-6.0,15.0,-9.0,3.0
29.0,20.0,-26.0,51.0,22.0,-11.0,29.0,35.0,-16.0,-34.0,18.0,39.0,-30.0,-48.0,85.0,0.0
3.0,-44.0,57.0,-62.0,22.0,1.0,-54.0,-15.0,-23.0,6.0,8.0,32.0,-39.0,-23.0,67.0,18.0
-13.0,-54.0,76.0,-84.0,10.0,10.0,-68.0,-27.0,-3.0,31.0,-8.0,-8.0,47.0,7.0,-62.0,22.0
-12.0,36.0,-2.0,12.0,24.0,-6.0,15.0,1.0,-21.0,26.0,7.0,-15.0,35.0,52.0,-100.0,9.0
16.0,77.0,-65.0,86.0,26.0,-17.0,104.0,2.0,0.0,-28.0,3.0,24.0,10.0,19.0,-37.0,6.0
32.0,36.0,-46.0,56.0,17.0,-12.0,53.0,19.0,-24.0,-39.0,17.0,44.0,-32.0,-44.0,77.0,-2.0
15.0,-54.0,47.0,-36.0,10.0,3.0,-56.0,15.0,-23.0,-3.0,18.0,21.0,-23.0,-44.0,80.0,0.0
-1.0,-62.0,74.0,-89.0,10.0,24.0,-82.0,-31.0,-10.0,36.0,-12.0,1.0,21.0,10.0,-45.0,28.0
3.0,11.0,4.0,-9.0,11.0,5.0,10.0,-17.0,19.0,-1.0,-13.0,-11.0,44.0,30.0,-102.0,22.0
10.0,81.0,-67.0,90.0,29.0,-12.0,78.0,19.0,-20.0,-12.0,14.0,10.0,28.0,9.0,-48.0,2.0
4.0,68.0,-51.0,70.0,34.0,-22.0,69.0,11.0,-25.0,-30.0,16.0,50.0,-12.0,-45.0,64.0,4.0
15.0,-53.0,40.0,-33.0,4.0,-6.0,-29.0,-1.0,-29.0,-15.0,11.0,35.0,-44.0,-43.0,76.0,14.0
-9.0,-75.0,84.0,-77.0,4.0,3.0,-77.0,-7.0,-2.0,12.0,-7.0,-5.0,-12.0,14.0,-26.0,23.0
-6.0,5.0,17.0,-28.0,11.0,15.0,-10.0,-27.0,8.0,9.0,-20.0,-5.0,50.0,26.0,-109.0,26.0
20.0,73.0,-75.0,70.0,14.0,-7.0,75.0,6.0,-9.0,-17.0,0.0,14.0,29.0,20.0,-67.0,4.0
32.0,45.0,-66.0,79.0,28.0,-37.0,66.0,34.0,-13.0,-40.0,12.0,33.0,0.0,-44.0,47.0,-11.0
19.0,-39.0,21.0,-26.0,16.0,-5.0,-33.0,-5.0,-22.0,-29.0,0.0,44.0,-64.0,-27.0,73.0,12.0
-12.0,-61.0,75.0,-92.0,11.0,12.0,-95.0,-18.0,-25.0,17.0,-9.0,5.0,26.0,-39.0,-15.0,16.0
-14.0,-12.0,20.0,-35.0,3.0,10.0,-40.0,-14.0,-20.0,14.0,-10.0,-20.0,26.0,39.0,-113.0,13.0
24.0,56.0,-66.0,56.0,3.0,-5.0,78.0,-6.0,8.0,-25.0,-20.0,11.0,8.0,45.0,-86.0,8.0
37.0,57.0,-82.0,75.0,10.0,-15.0,69.0,22.0,-12.0,-45.0,-2.0,36.0,-33.0,-30.0,40.0,-2.0
15.0,-24.0,6.0,-11.0,13.0,-14.0,-30.0,17.0,-34.0,-22.0,7.0,31.0,-33.0,-69.0,84.0,0.0
-11.0,-70.0,75.0,-85.0,17.0,-9.0,-75.0,-24.0,-2.0,-5.0,-9.0,13.0,-15.0,0.0,-8.0,20.0
-7.0,-35.0,36.0,-43.0,-7.0,8.0,-30.0,-21.0,4.0,19.0,-11.0,-17.0,40.0,30.0,-90.0,15.0
7.0,62.0,-58.0,61.0,9.0,-9.0,54.0,19.0,4.0,-9.0,-5.0,-5.0,29.0,33.0,-86.0,9.0
35.0,65.0,-78.0,83.0,23.0,-16.0,87.0,12.0,-15.0,-27.0,3.0,42.0,-22.0,-8.0,29.0,3.0
25.0,-19.0,0.0,3.0,18.0,-9.0,-16.0,16.0,-21.0,-25.0,10.0,41.0,-55.0,-44.0,98.0,5.0
-6.0,-91.0,85.0,-79.0,8.0,9.0,-103.0,-4.0,-28.0,14.0,0.0,7.0,-15.0,-37.0,25.0,20.0
-7.0,-45.0,53.0,-60.0,9.0,1.0,-41.0,-28.0,-13.0,34.0,-14.0,-10.0,47.0,17.0,-93.0,25.0
-13.0,73.0,-40.0,48.0,14.0,-1.0,49.0,7.0,13.0,-2.0,-1.0,-5.0,56.0,37.0,-100.0,12.0
14.0,79.0,-79.0,95.0,24.0,-5.0,65.0,25.0,-8.0,-22.0,10.0,24.0,-6.0,0.0,12.0,0.0
28.0,-6.0,-9.0,15.0,17.0,-15.0,19.0,8.0,-19.0,-26.0,3.0,46.0,-49.0,-43.0,87.0,8.0
-7.0,-71.0,71.0,-73.0,3.0,-6.0,-74.0,-2.0,-25.0,12.0,1.0,13.0,-20.0,-32.0,32.0,22.0
-12.0,-42.0,60.0,-58.0,1.0,11.0,-58.0,-6.0,16.0,13.0,-9.0,-19.0,18.0,34.0,-77.0,26.0
9.0,49.0,-32.0,25.0,8.0,4.0,52.0,-13.0,21.0,0.0,-13.0,3.0,38.0,48.0,-102.0,27.0
27.0,76.0,-75.0,94.0,24.0,-23.0,101.0,21.0,-19.0,-37.0,25.0,32.0,-3.0,-14.0,18.0,0.0
21.0,8.0,-13.0,37.0,17.0,-11.0,21.0,25.0,-73.0,-5.0,34.0,47.0,-2.0,-101.0,104.0,1.0
-2.0,-72.0,66.0,-74.0,6.0,-5.0,-61.0,-22.0,-19.0,-12.0,-2.0,30.0,-36.0,-28.0,35.0,27.0
-18.0,-54.0,60.0,-78.0,-13.0,12.0,-72.0,-17.0,13.0,14.0,-20.0,-14.0,2.0,41.0,-73.0,24.0
-8.0,34.0,-20.0,27.0,13.0,-22.0,40.0,2.0,-9.0,23.0,-7.0,-13.0,63.0,26.0,-106.0,10.0
18.0,72.0,-81.0,86.0,20.0,-24.0,100.0,-1.0,-23.0,-33.0,6.0,35.0,4.0,-6.0,-13.0,0.0
25.0,10.0,-44.0,41.0,4.0,-14.0,24.0,18.0,-15.0,-43.0,1.0,42.0,-42.0,-54.0,81.0,0.0
2.0,-70.0,50.0,-55.0,6.0,-9.0,-70.0,0.0,-14.0,-9.0,-8.0,19.0,-44.0,-30.0,48.0,13.0
-11.0,-66.0,60.0,-92.0,-3.0,7.0,-76.0,-38.0,6.0,8.0,-33.0,-5.0,-4.0,18.0,-63.0,26.0
-13.0,35.0,-25.0,3.0,5.0,-1.0,5.0,-8.0,-4.0,5.0,-16.0,-16.0,50.0,8.0,-96.0,7.0
33.0,57.0,-90.0,87.0,11.0,-15.0,73.0,18.0,9.0,-35.0,-10.0,11.0,11.0,3.0,-36.0,-2.0
33.0,23.0,-54.0,54.0,20.0,-20.0,45.0,11.0,-24.0,-31.0,5.0,46.0,-42.0,-29.0,72.0,-5.0
3.0,-59.0,37.0,-45.0,15.0,-6.0,-74.0,2.0,-20.0,-7.0,2.0,23.0,-24.0,-42.0,61.0,3.0
-2.0,-79.0,62.0,-82.0,-16.0,23.0,-94.0,-13.0,7.0,10.0,-17.0,-13.0,14.0,2.0,-48.0,20.0
1.0,8.0,0.0,-14.0,6.0,0.0,16.0,-27.0,14.0,11.0,-27.0,-9.0,33.0,37.0,-106.0,26.0
14.0,78.0,-78.0,86.0,9.0,-12.0,81.0,22.0,-12.0,-11.0,5.0,9.0,8.0,24.0,-37.0,-3.0
23.0,50.0,-53.0,74.0,15.0,-10.0,59.0,31.0,-33.0,-28.0,24.0,39.0,-31.0,-36.0,76.0,-7.0
9.0,-44.0,44.0,-37.0,19.0,0.0,-41.0,-7.0,-40.0,5.0,7.0,39.0,-38.0,-46.0,85.0,10.0
-9.0,-71.0,80.0,-82.0,-5.0,12.0,-78.0,-11.0,11.0,7.0,-4.0,-6.0,8.0,2.0,-22.0,20.0
-5.0,12.0,15.0,-21.0,10.0,10.0,-9.0,-9.0,10.0,13.0,-4.0,-17.0,32.0,49.0,-98.0,20.0
31.0,74.0,-66.0,69.0,11.0,4.0,93.0,0.0,2.0,-10.0,3.0,18.0,26.0,26.0,-58.0,18.0
22.0,59.0,-53.0,78.0,20.0,-17.0,69.0,34.0,-27.0,-22.0,29.0,37.0,-21.0,-28.0,65.0,2.0
8.0,-32.0,39.0,-20.0,13.0,0.0,-32.0,15.0,-15.0,-22.0,18.0,35.0,-40.0,-52.0,87.0,21.0
-10.0,-55.0,83.0,-96.0,7.0,20.0,-77.0,-28.0,-3.0,20.0,-3.0,11.0,-2.0,5.0,-18.0,40.0
-17.0,0.0,33.0,-33.0,-1.0,9.0,-14.0,-11.0,-5.0,27.0,0.0,-17.0,33.0,38.0,-93.0,28.0
11.0,83.0,-55.0,67.0,9.0,7.0,76.0,14.0,4.0,-7.0,11.0,5.0,34.0,28.0,-64.0,15.0
