FP2 - F4,F4 - C4,C4 - P4,P4 - O2,FP2 - F8,F8 - T4,T4 - T6,T6 - O2,FP1 - F3,F3 - C3,C3 - P3,P3 - O1,FP1 - F7,F7 - T3,T3 - T5,T5 - O1
381.0,-1.0,-621.0,471.0,24.0,273.0,-177.0,111.0,695.0,-605.0,288.0,-180.0,-128.0,534.0,-244.0,37.0
395.0,-62.0,-625.0,487.0,-6.0,236.0,-87.0,52.0,636.0,-631.0,301.0,-132.0,-234.0,628.0,-304.0,83.0
385.0,-142.0,-626.0,507.0,-74.0,186.0,18.0,-8.0,476.0,-586.0,252.0,-49.0,-367.0,689.0,-387.0,157.0
359.0,-184.0,-630.0,516.0,-127.0,153.0,71.0,-36.0,342.0,-494.0,175.0,9.0,-394.0,646.0,-446.0,225.0
347.0,-157.0,-642.0,514.0,-119.0,158.0,34.0,-11.0,334.0,-417.0,118.0,0.0,-310.0,537.0,-429.0,237.0
363.0,-95.0,-648.0,504.0,-62.0,194.0,-61.0,54.0,425.0,-401.0,113.0,-58.0,-231.0,477.0,-350.0,183.0
389.0,-41.0,-635.0,490.0,-1.0,239.0,-154.0,119.0,532.0,-448.0,157.0,-125.0,-222.0,508.0,-261.0,90.0
400.0,-14.0,-619.0,481.0,30.0,268.0,-200.0,148.0,615.0,-527.0,224.0,-174.0,-230.0,563.0,-205.0,10.0
390.0,-23.0,-615.0,486.0,17.0,267.0,-174.0,128.0,650.0,-596.0,279.0,-183.0,-217.0,586.0,-215.0,-3.0
376.0,-76.0,-615.0,502.0,-35.0,237.0,-87.0,73.0,605.0,-614.0,285.0,-135.0,-225.0,598.0,-302.0,70.0
361.0,-142.0,-605.0,510.0,-95.0,194.0,13.0,12.0,469.0,-562.0,237.0,-50.0,-297.0,620.0,-421.0,192.0
321.0,-137.0,-587.0,481.0,-130.0,167.0,53.0,-13.0,289.0,-463.0,184.0,7.0,-390.0,606.0,-492.0,293.0
238.0,-12.0,-551.0,395.0,-114.0,179.0,-28.0,33.0,127.0,-360.0,185.0,-12.0,-423.0,511.0,-479.0,330.0
138.0,193.0,-484.0,262.0,-38.0,229.0,-234.0,153.0,20.0,-285.0,253.0,-103.0,-378.0,374.0,-419.0,307.0
66.0,406.0,-395.0,125.0,96.0,296.0,-505.0,315.0,-11.0,-248.0,363.0,-246.0,-290.0,260.0,-364.0,252.0
66.0,560.0,-323.0,34.0,276.0,359.0,-766.0,469.0,35.0,-259.0,491.0,-424.0,-191.0,183.0,-332.0,183.0
172.0,584.0,-280.0,14.0,454.0,410.0,-944.0,570.0,132.0,-315.0,605.0,-590.0,-98.0,135.0,-334.0,129.0
373.0,444.0,-249.0,53.0,569.0,449.0,-987.0,590.0,232.0,-397.0,669.0,-678.0,-19.0,102.0,-376.0,120.0
599.0,206.0,-213.0,109.0,599.0,475.0,-904.0,530.0,171.0,-467.0,675.0,-671.0,-81.0,72.0,-438.0,155.0
759.0,12.0,-197.0,146.0,585.0,485.0,-774.0,424.0,-439.0,-480.0,621.0,-619.0,-683.0,58.0,-485.0,193.0
801.0,-31.0,-225.0,147.0,581.0,474.0,-685.0,324.0,-1823.0,-438.0,512.0,-573.0,-2101.0,94.0,-510.0,195.0
743.0,59.0,-276.0,127.0,598.0,444.0,-654.0,264.0,-3535.0,-404.0,369.0,-544.0,-3927.0,202.0,-546.0,156.0
633.0,206.0,-333.0,114.0,629.0,400.0,-651.0,243.0,-4688.0,-429.0,222.0,-539.0,-5273.0,356.0,-480.0,-38.0
523.0,343.0,-395.0,132.0,653.0,351.0,-632.0,231.0,-4677.0,-536.0,110.0,-564.0,-5503.0,492.0,109.0,-765.0
460.0,401.0,-443.0,172.0,627.0,309.0,-556.0,209.0,-3523.0,-725.0,67.0,-577.0,-4573.0,549.0,1519.0,-2253.0
468.0,343.0,-442.0,214.0,524.0,283.0,-401.0,177.0,-1659.0,-944.0,95.0,-514.0,-2857.0,525.0,3478.0,-4170.0
516.0,222.0,-409.0,254.0,374.0,265.0,-209.0,153.0,217.0,-1086.0,155.0,-388.0,-1019.0,457.0,5388.0,-5926.0
520.0,156.0,-408.0,312.0,216.0,265.0,-60.0,160.0,1327.0,-1043.0,202.0,-299.0,175.0,368.0,6510.0,-6867.0
