FP2 - F4,F4 - C4,C4 - P4,P4 - O2,FP2 - F8,F8 - T4,T4 - T6,T6 - O2,FP1 - F3,F3 - C3,C3 - P3,P3 - O1,FP1 - F7,F7 - T3,T3 - T5,T5 - O1
61.0,106.0,78.0,-406.0,241.0,100.0,-222.0,-280.0,44.0,-566.0,820.0,-9.0,301.0,-399.0,93.0,294.0
83.0,53.0,51.0,-329.0,171.0,136.0,-242.0,-209.0,53.0,-545.0,808.0,-9.0,345.0,-404.0,62.0,305.0
90.0,-42.0,68.0,-293.0,86.0,170.0,-256.0,-177.0,31.0,-506.0,749.0,24.0,332.0,-381.0,56.0,292.0
54.0,-161.0,169.0,-367.0,-10.0,232.0,-286.0,-242.0,-28.0,-412.0,602.0,80.0,253.0,-313.0,79.0,223.0
-48.0,-260.0,339.0,-542.0,-117.0,329.0,-325.0,-399.0,-87.0,-275.0,385.0,132.0,144.0,-213.0,126.0,99.0
-205.0,-312.0,529.0,-740.0,-231.0,436.0,-356.0,-578.0,-107.0,-138.0,157.0,167.0,34.0,-99.0,176.0,-33.0
-373.0,-331.0,704.0,-887.0,-325.0,520.0,-376.0,-706.0,-79.0,-34.0,-42.0,185.0,-61.0,15.0,209.0,-134.0
-495.0,-326.0,830.0,-949.0,-356.0,550.0,-387.0,-746.0,-8.0,13.0,-174.0,167.0,-118.0,98.0,226.0,-207.0
-541.0,-288.0,869.0,-914.0,-306.0,517.0,-389.0,-697.0,98.0,-6.0,-211.0,102.0,-108.0,115.0,246.0,-271.0
-511.0,-232.0,815.0,-798.0,-197.0,427.0,-369.0,-588.0,198.0,-70.0,-165.0,7.0,-47.0,71.0,275.0,-329.0
-420.0,-192.0,703.0,-645.0,-63.0,295.0,-317.0,-469.0,248.0,-152.0,-51.0,-91.0,19.0,1.0,304.0,-370.0
-296.0,-174.0,563.0,-501.0,75.0,142.0,-238.0,-387.0,240.0,-246.0,135.0,-175.0,80.0,-80.0,327.0,-372.0
-182.0,-145.0,397.0,-377.0,190.0,1.0,-151.0,-346.0,205.0,-350.0,379.0,-237.0,143.0,-166.0,338.0,-317.0
-97.0,-81.0,201.0,-248.0,260.0,-98.0,-71.0,-317.0,166.0,-455.0,637.0,-270.0,191.0,-249.0,333.0,-197.0
-30.0,-9.0,6.0,-107.0,282.0,-142.0,-6.0,-273.0,120.0,-531.0,837.0,-264.0,199.0,-316.0,312.0,-34.0
23.0,53.0,-144.0,11.0,258.0,-126.0,29.0,-216.0,66.0,-548.0,915.0,-229.0,167.0,-352.0,282.0,108.0
44.0,119.0,-241.0,78.0,192.0,-59.0,32.0,-165.0,19.0,-502.0,867.0,-191.0,125.0,-356.0,248.0,177.0
43.0,184.0,-300.0,100.0,103.0,29.0,24.0,-129.0,-17.0,-408.0,740.0,-162.0,102.0,-339.0,206.0,185.0
54.0,201.0,-295.0,78.0,8.0,128.0,14.0,-112.0,-61.0,-280.0,568.0,-127.0,103.0,-314.0,151.0,160.0
94.0,141.0,-191.0,-10.0,-80.0,253.0,-10.0,-129.0,-118.0,-127.0,366.0,-87.0,124.0,-290.0,93.0,108.0
140.0,41.0,-11.0,-152.0,-137.0,386.0,-58.0,-173.0,-170.0,32.0,152.0,-55.0,151.0,-267.0,39.0,37.0
166.0,-54.0,183.0,-295.0,-144.0,490.0,-128.0,-218.0,-199.0,177.0,-55.0,-29.0,169.0,-256.0,2.0,-22.0
172.0,-144.0,359.0,-395.0,-104.0,543.0,-208.0,-239.0,-202.0,296.0,-248.0,15.0,172.0,-265.0,-8.0,-38.0
160.0,-228.0,506.0,-445.0,-31.0,524.0,-269.0,-230.0,-173.0,376.0,-407.0,76.0,159.0,-285.0,8.0,-10.0
122.0,-290.0,614.0,-454.0,45.0,438.0,-289.0,-202.0,-96.0,390.0,-503.0,133.0,133.0,-298.0,48.0,41.0
63.0,-333.0,679.0,-426.0,92.0,321.0,-267.0,-165.0,16.0,337.0,-521.0,171.0,106.0,-301.0,115.0,81.0
20.0,-366.0,697.0,-371.0,104.0,220.0,-219.0,-124.0,117.0,228.0,-448.0,190.0,94.0,-305.0,196.0,103.0
23.0,-375.0,656.0,-307.0,99.0,150.0,-167.0,-85.0,177.0,81.0,-268.0,190.0,109.0,-312.0,253.0,131.0
52.0,-339.0,550.0,-243.0,94.0,92.0,-117.0,-50.0,210.0,-91.0,-5.0,172.0,151.0,-308.0,250.0,194.0
74.0,-256.0,393.0,-169.0,93.0,27.0,-67.0,-12.0,236.0,-274.0,297.0,146.0,202.0,-287.0,192.0,299.0
81.0,-155.0,222.0,-75.0,100.0,-39.0,-21.0,33.0,243.0,-432.0,578.0,126.0,236.0,-268.0,118.0,427.0
81.0,-75.0,92.0,16.0,107.0,-84.0,18.0,75.0,205.0,-515.0,755.0,108.0,228.0,-262.0,65.0,521.0
73.0,-27.0,22.0,82.0,99.0,-89.0,49.0,92.0,132.0,-505.0,790.0,78.0,174.0,-261.0,44.0,537.0
56.0,3.0,-20.0,124.0,79.0,-61.0,70.0,76.0,49.0,-429.0,722.0,29.0,102.0,-251.0,47.0,473.0
41.0,19.0,-60.0,137.0,68.0,-27.0,67.0,29.0,-21.0,-333.0,623.0,-33.0,50.0,-240.0,69.0,355.0
36.0,19.0,-91.0,94.0,86.0,-16.0,37.0,-49.0,-47.0,-259.0,540.0,-105.0,44.0,-236.0,111.0,209.0
34.0,17.0,-101.0,-11.0,134.0,-39.0,-6.0,-150.0,-8.0,-230.0,490.0,-177.0,79.0,-229.0,158.0,66.0
19.0,28.0,-87.0,-141.0,183.0,-77.0,-42.0,-245.0,78.0,-242.0,467.0,-233.0,124.0,-216.0,200.0,-38.0
-8.0,42.0,-61.0,-237.0,201.0,-104.0,-63.0,-298.0,158.0,-266.0,458.0,-260.0,146.0,-212.0,237.0,-81.0
-24.0,45.0,-41.0,-256.0,184.0,-109.0,-63.0,-288.0,191.0,-279.0,448.0,-252.0,128.0,-223.0,259.0,-55.0
-21.0,38.0,-45.0,-191.0,136.0,-93.0,-41.0,-220.0,176.0,-277.0,435.0,-218.0,73.0,-233.0,254.0,21.0
-13.0,18.0,-66.0,-77.0,58.0,-61.0,-7.0,-127.0,150.0,-270.0,403.0,-178.0,3.0,-220.0,223.0,100.0
-2.0,-32.0,-82.0,20.0,-39.0,-36.0,38.0,-60.0,140.0,-255.0,330.0,-148.0,-61.0,-185.0,186.0,128.0
20.0,-100.0,-91.0,53.0,-121.0,-48.0,100.0,-50.0,144.0,-235.0,217.0,-132.0,-115.0,-139.0,158.0,91.0
44.0,-137.0,-118.0,38.0,-167.0,-94.0,172.0,-83.0,148.0,-225.0,110.0,-122.0,-162.0,-98.0,142.0,29.0
49.0,-114.0,-175.0,22.0,-190.0,-140.0,231.0,-120.0,144.0,-241.0,56.0,-101.0,-198.0,-78.0,138.0,-5.0
38.0,-54.0,-244.0,23.0,-208.0,-155.0,261.0,-136.0,129.0,-277.0,61.0,-59.0,-214.0,-92.0,153.0,7.0
20.0,6.0,-285.0,31.0,-228.0,-135.0,260.0,-126.0,106.0,-320.0,104.0,-7.0,-218.0,-130.0,183.0,48.0
-12.0,64.0,-287.0,32.0,-257.0,-89.0,232.0,-89.0,86.0,-370.0,163.0,36.0,-224.0,-161.0,216.0,85.0
-57.0,114.0,-265.0,33.0,-299.0,-25.0,183.0,-33.0,73.0,-417.0,211.0,67.0,-226.0,-172.0,233.0,100.0
-77.0,120.0,-226.0,57.0,-344.0,50.0,130.0,37.0,60.0,-413.0,191.0,91.0,-209.0,-169.0,217.0,89.0
-39.0,54.0,-166.0,119.0,-365.0,123.0,89.0,122.0,45.0,-320.0,61.0,117.0,-163.0,-160.0,169.0,58.0
